Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:23:21  0                   0             0            0               86658           0                  1654               0                         245      
22:23:23  0                   0             0            0               86658           0                  1654               0                         245      
22:23:25  0                   0             0            0               86658           0                  1654               0                         245      
22:23:27  0                   0             0            0               86658           0                  1654               0                         245      
22:23:29  0                   0             0            0               86658           0                  1654               0                         245      
22:23:31  0                   0             0            0               86658           0                  1654               0                         245      
22:23:33  0                   0             0            0               86658           0                  1654               0                         245      
22:23:35  0                   0             0            0               86658           0                  1654               0                         245      
22:23:37  0                   0             0            0               86658           0                  1654               0                         245      
22:23:39  0                   0             0            0               86658           0                  1654               0                         245      
22:23:41  0                   0             0            0               86658           0                  1654               0                         245      
22:23:43  0                   0             0            0               86658           0                  1654               0                         245      
22:23:45  0                   0             0            0               86658           0                  1654               0                         245      
22:23:47  0                   0             0            0               86658           0                  1654               0                         245      
22:23:49  0                   0             0            0               86658           0                  1654               0                         245      
22:23:51  0                   0             0            0               86658           0                  1654               0                         245      
22:23:53  0                   0             0            0               86658           0                  1654               0                         245      
22:23:55  0                   0             0            0               86658           0                  1654               0                         245      
22:23:57  0                   0             0            0               86658           0                  1654               0                         245      
22:23:59  0                   0             0            0               86658           0                  1654               0                         245      
22:24:01  0                   0             0            0               86658           0                  1654               0                         245      
22:24:03  0                   0             0            0               86658           0                  1654               0                         245      
22:24:05  0                   0             0            0               86658           0                  1654               0                         245      
22:24:07  0                   0             0            0               86658           0                  1654               0                         245      
22:24:09  0                   0             0            0               86658           0                  1654               0                         245      
22:24:11  0                   0             0            0               86658           0                  1654               0                         245      
22:24:13  0                   0             0            0               86658           0                  1654               0                         245      
22:24:15  0                   0             0            0               86658           0                  1654               0                         245      
22:24:18  0                   0             0            0               86658           0                  1654               0                         245      
22:24:20  0                   0             0            0               86658           0                  1654               0                         245      
22:24:22  0                   0             0            0               86658           0                  1654               0                         245      
22:24:24  0                   0             0            0               86658           0                  1654               0                         245      
22:24:26  0                   0             0            0               86658           0                  1654               0                         245      
22:24:28  0                   0             0            0               86658           0                  1654               0                         245      
22:24:30  0                   0             0            0               86658           0                  1654               0                         245      
22:24:32  0                   0             0            0               86658           0                  1654               0                         245      
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:24:34  0                   0             0            0               86658           0                  1654               0                         245      
22:24:36  0                   0             0            0               86658           0                  1654               0                         245      
22:24:38  0                   0             0            0               86658           0                  1654               0                         245      
22:24:40  0                   0             0            0               86658           0                  1654               0                         245      
22:24:42  0                   0             0            0               86658           0                  1654               0                         245      
22:24:44  0                   0             0            0               86658           0                  1654               0                         245      
22:24:46  0                   0             0            0               86658           0                  1654               0                         245      
22:24:48  0                   0             0            0               86658           0                  1654               0                         245      
22:24:50  0                   0             0            0               86658           0                  1654               0                         245      
