Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:21:05  606726297 0         0            41252           606698685  27612     
22:21:07  606746596 0         0            41252           606718984  27612     
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
22:21:09  606766944 0         0            41252           606739332  27612     
22:21:11  606787175 0         0            41252           606759563  27612     
22:21:13  606807306 0         0            41252           606779694  27612     
22:21:15  606827759 0         0            41252           606800147  27612     
22:21:17  606847983 0         0            41252           606820371  27612     
22:21:19  606866931 0         0            41252           606839319  27612     
22:21:21  606887024 0         0            41252           606859412  27612     
22:21:23  606906074 0         0            41252           606878462  27612     
22:21:25  606925985 0         0            41252           606898373  27612     
22:21:27  606945057 0         0            41252           606917445  27612     
22:21:29  606967055 0         0            41252           606939443  27612     
22:21:31  606998342 0         0            41252           606970730  27612     
22:21:33  607021124 0         0            41252           606993512  27612     
22:21:35  607049161 0         0            41252           607021548  27613     
22:21:37  607068689 0         0            41252           607041076  27613     
22:21:39  607089757 0         0            41252           607062144  27613     
22:21:41  607111232 0         0            41252           607083618  27614     
22:21:43  607132852 0         0            41252           607105238  27614     
22:21:45  607159213 0         0            41252           607131599  27614     
22:21:47  607178749 0         0            41252           607151135  27614     
22:21:49  607199947 0         0            41252           607172333  27614     
22:21:51  607221684 0         0            41252           607194070  27614     
22:21:53  607242766 0         0            41252           607215152  27614     
22:21:55  607263256 0         0            41252           607235642  27614     
22:21:57  607282930 0         0            41252           607255316  27614     
22:21:59  607302004 0         0            41252           607274390  27614     
22:22:01  607321818 0         0            41252           607294204  27614     
22:22:03  607343376 0         0            41252           607315762  27614     
22:22:05  607362616 0         0            41252           607335002  27614     
22:22:07  607381773 0         0            41252           607354159  27614     
22:22:09  607401330 0         0            41252           607373715  27615     
22:22:11  607420863 0         0            41252           607393248  27615     
22:22:13  607440889 0         0            41252           607413274  27615     
22:22:15  607459381 0         0            41252           607431766  27615     
22:22:17  607478286 0         0            41252           607450671  27615     
22:22:19  607498384 0         0            41252           607470769  27615     
22:22:21  607518835 0         0            41252           607491220  27615     
22:22:23  607538319 0         0            41252           607510704  27615     
22:22:25  607557548 0         0            41252           607529933  27615     
22:22:27  607576398 0         0            41252           607548783  27615     
22:22:29  607601606 0         0            41252           607573991  27615     
22:22:31  607631578 0         0            41252           607603963  27615     
22:22:33  607652454 0         0            41252           607624839  27615     
22:22:35  607676465 0         0            41252           607648850  27615     
22:22:37  607697031 0         0            41252           607669416  27615     
