Linux 3.2.0-31-virtual (ip-10-124-138-93) 	06/17/2014 	_x86_64_	(2 CPU)

12:20:52 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
12:27:30 AM     all      0.25      0.00      2.01      0.00      1.76      0.00      0.75      0.00     95.23
12:27:32 AM     all      0.26      0.00      0.78      0.00      0.00      0.00      0.26      0.00     98.69
12:27:34 AM     all      1.03      0.00      0.26      0.26      1.29      0.00      0.00      0.00     97.16
12:27:36 AM     all      0.26      0.00      0.26      0.00      0.26      0.00      0.00      0.00     99.21
12:27:38 AM     all      0.26      0.00      0.77      0.00      2.84      0.00      0.00      0.00     96.13
12:27:40 AM     all      0.26      0.00      0.26      0.00      0.78      0.00      0.00      0.00     98.70
12:27:42 AM     all      0.75      0.00      0.50      0.00      4.48      0.00      0.00      0.00     94.28
12:27:44 AM     all      1.29      0.00      0.26      0.00      1.54      0.00      0.00      0.00     96.92
12:27:46 AM     all      0.26      0.00      0.51      0.00      2.55      0.00      0.00      0.00     96.68
12:27:48 AM     all      0.76      0.00      0.76      0.00      2.78      0.00      0.00      0.00     95.70
12:27:50 AM     all      1.25      0.00      0.75      0.00      2.51      0.00      0.25      0.00     95.24
12:27:52 AM     all      3.23      0.00      1.24      0.25      1.24      0.00      0.00      0.00     94.03
12:27:54 AM     all      3.84      0.00      2.16      0.00      2.88      0.00      0.24      0.00     90.89
12:27:56 AM     all      7.93      0.00      2.33      0.00      1.40      0.00      0.00      0.00     88.34
12:27:58 AM     all     11.06      0.00      4.34      0.22      1.30      0.00      0.00      0.00     83.08
12:28:00 AM     all     12.31      0.00      3.82      0.00      2.97      0.00      0.64      0.00     80.25
12:28:02 AM     all     10.59      0.00      3.15      0.00      1.13      0.00      0.23      0.00     84.91
12:28:04 AM     all      9.93      0.00      2.48      0.00      1.58      0.00      0.45      0.00     85.55
12:28:06 AM     all      6.60      0.00      1.42      0.00      2.36      0.00      0.47      0.00     89.15
12:28:08 AM     all      3.02      0.00      1.01      0.00      0.00      0.00      0.25      0.00     95.72
12:28:10 AM     all      1.51      0.00      0.76      0.00      3.78      0.00      0.25      0.00     93.70
12:28:12 AM     all      0.50      0.00      2.01      0.00      5.51      0.00      0.00      0.00     91.98
12:28:14 AM     all      0.00      0.00      0.26      0.00      1.56      0.00      0.00      0.00     98.18
12:28:16 AM     all      0.77      0.00      0.77      0.26      1.28      0.00      0.00      0.00     96.94
12:28:18 AM     all      0.51      0.00      0.25      0.00      3.05      0.00      0.00      0.00     96.19
12:28:20 AM     all      0.25      0.00      0.51      0.00      3.05      0.00      0.00      0.00     96.19
12:28:22 AM     all      0.26      0.00      0.78      0.00      0.00      0.00      0.00      0.00     98.96
12:28:24 AM     all      0.77      0.00      1.54      0.00      1.54      0.00      1.03      0.00     95.12
12:28:26 AM     all      0.75      0.00      2.24      0.00      2.49      0.00      1.00      0.00     93.53
12:28:28 AM     all      0.25      0.00      1.99      0.00      1.49      0.00      2.24      0.00     94.03
12:28:30 AM     all      0.51      0.00      1.29      0.00      2.06      0.00      0.51      0.00     95.63
12:28:32 AM     all      0.26      0.00      0.78      0.00      1.29      0.00      0.00      0.00     97.67
12:28:34 AM     all      2.56      0.00      0.26      0.26      1.79      0.00      0.00      0.00     95.14
12:28:36 AM     all      0.26      0.00      0.79      0.00      0.00      0.00      0.00      0.00     98.95
12:28:38 AM     all      0.26      0.00      0.77      0.00      1.54      0.00      0.00      0.00     97.43
12:28:40 AM     all      0.26      0.00      0.51      0.00      1.80      0.00      0.00      0.00     97.43
12:28:42 AM     all      0.75      0.00      0.50      0.00      4.23      0.00      0.00      0.00     94.53
12:28:44 AM     all      0.00      0.00      0.76      0.00      3.05      0.00      0.00      0.00     96.19
12:28:46 AM     all      0.25      0.00      1.01      0.00      3.03      0.00      0.00      0.00     95.71
12:28:48 AM     all      3.14      0.00      1.05      0.00      0.00      0.00      0.00      0.00     95.81
12:28:50 AM     all      0.52      0.00      0.78      0.00      1.82      0.00      0.00      0.00     96.88
12:28:52 AM     all      1.02      0.00      1.02      0.25      3.31      0.00      0.00      0.00     94.40
12:28:54 AM     all      3.79      0.00      1.26      0.00      1.52      0.00      0.00      0.00     93.43
12:28:56 AM     all      2.07      0.00      1.04      0.00      0.26      0.00      0.00      0.00     96.63
12:28:58 AM     all      5.67      0.00      1.89      0.00      3.78      0.00      0.00      0.00     88.65
12:29:00 AM     all      4.47      0.00      1.74      0.00      1.74      0.00      0.00      0.00     92.06
12:29:02 AM     all      9.20      0.00      3.30      0.00      0.71      0.00      0.24      0.00     86.56
12:29:04 AM     all     12.47      0.00      2.41      0.22      1.53      0.00      0.00      0.00     83.37
12:29:06 AM     all     14.38      0.00      3.70      0.00      0.44      0.00      0.44      0.00     81.05
12:29:08 AM     all     16.46      0.00      3.91      0.00      2.47      0.00      0.41      0.00     76.75
12:29:10 AM     all     16.95      0.00      3.14      0.00      2.51      0.00      0.42      0.00     76.99
12:29:12 AM     all     14.19      0.00      2.40      0.00      1.31      0.00      0.66      0.00     81.44
12:29:14 AM     all     12.11      0.00      2.02      0.00      1.35      0.00      0.90      0.00     83.63
12:29:16 AM     all      8.78      0.00      2.08      0.00      2.54      0.00      0.23      0.00     86.37
12:29:18 AM     all      5.81      0.00      1.45      0.00      1.45      0.00      0.73      0.00     90.56
12:29:20 AM     all      3.48      0.00      0.75      0.00      2.74      0.00      0.25      0.00     92.79
