Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:21:44  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:46  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:48  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:50  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:52  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:54  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:56  1515367             1749          417          1332            502803          768                745                0                         2928     
22:21:58  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:00  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:02  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:04  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:06  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:08  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:10  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:12  1515367             1749          417          1332            502803          768                745                0                         2928     
Time      compact_pages_moved compact_stall compact_fail compact_success thp_fault_alloc thp_fault_fallback thp_collapse_alloc thp_collapse_alloc_failed thp_split
22:22:14  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:16  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:18  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:20  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:22  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:24  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:26  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:28  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:30  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:32  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:34  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:36  1515367             1749          417          1332            502803          768                745                0                         2928     
22:22:38  1515367             1749          417          1332            502803          768                745                0                         2928     
