Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM   frmpg/s   bufpg/s   campg/s
05:31:13 PM     68.53      0.00      2.03
05:31:15 PM   1149.24      0.00      1.52
05:31:17 PM    -15.42      0.00      1.49
05:31:19 PM     53.54      0.00      1.01
05:31:21 PM    -49.49      0.00      1.52
05:31:23 PM    -30.50      0.00      1.00
05:31:25 PM     18.18      0.00      1.52
05:31:27 PM    -12.50      0.00      2.00
05:31:29 PM    157.79      0.00      0.50
05:31:31 PM     63.96      0.00      3.05
05:31:33 PM    -45.73      0.00      1.01
05:31:35 PM     17.09      0.00      2.01
05:31:37 PM      4.08      0.00      1.02
05:31:39 PM     43.50      0.00      1.00
05:31:41 PM    -46.23      0.00      1.01
05:31:43 PM     64.47      0.00      2.03
05:31:45 PM   -157.21      0.00      1.00
05:31:47 PM     29.44      0.00      1.02
05:31:49 PM    -21.50      0.00      1.00
05:31:51 PM    143.65      0.00      2.03
05:31:53 PM    -48.99      0.51      1.01
05:31:55 PM     32.83      0.00      2.53
05:31:57 PM  -1173.10      0.00      1.52
05:31:59 PM   1046.46      0.00      2.53
05:32:01 PM     45.27      0.00      2.49
05:32:03 PM      3.05      0.00      2.54
05:32:05 PM     31.82      0.00      1.52
05:32:07 PM  -1159.80      0.00      1.51
05:32:09 PM   1111.62      0.00      3.03
05:32:11 PM  -1137.00      0.00      2.00
05:32:13 PM    121.94      0.00      1.53
05:32:15 PM    986.29      0.00      1.52
05:32:17 PM     55.10      0.00      1.02
05:32:19 PM     41.12      0.00      1.52
05:32:21 PM     17.59      0.00      0.50
05:32:23 PM    143.22      0.00      2.51
05:32:25 PM   -159.00      0.00      1.50
05:32:27 PM    -26.90      0.00      1.02
05:32:29 PM     61.93      0.00      1.02
05:32:31 PM     27.27      0.00      2.02
05:32:33 PM   -108.50      0.00      1.00
05:32:35 PM     50.51      0.00      1.52
05:32:37 PM     47.45      0.00      1.02
05:32:39 PM    -46.97      0.00      1.52
05:32:41 PM      7.04      0.00      1.51
05:32:43 PM    -28.43      0.00      1.02
05:32:45 PM     18.27      0.00      1.02
05:32:47 PM    -13.07      0.00      1.01
05:32:49 PM    -31.00      0.00      2.00
05:32:51 PM    -15.74      0.00      2.54
05:32:53 PM     25.00      0.00      1.00
05:32:55 PM      1.01      0.00      1.51
05:32:57 PM  -1294.42      0.00      1.52
05:32:59 PM   1274.24      0.00      1.01
05:33:01 PM   -189.39      0.00      2.02
05:33:03 PM     62.81      0.00      1.51
05:33:05 PM     38.97      0.00      1.54
05:33:07 PM  -1203.05      0.00      1.02
05:33:09 PM   1220.51      0.00      2.56
05:33:11 PM  -1217.68      0.00      1.01
05:33:13 PM    115.66      0.00      2.02
05:33:15 PM   1151.02      0.00      1.02
05:33:17 PM    112.63      0.00      1.01
05:33:19 PM    -71.36      0.00      1.01
05:33:21 PM    109.60      0.00      2.53
05:33:23 PM     -1.02      0.00      1.52
05:33:25 PM     48.76      0.00      1.00
05:33:27 PM    -48.19      0.00      1.04
05:33:29 PM   -120.10      0.00      1.51
05:33:31 PM     83.76      0.00      3.05
05:33:33 PM    -79.90      0.00      1.01
05:33:35 PM     58.00      0.00      2.00
05:33:37 PM     20.71      0.00      1.52
05:33:39 PM   -106.03      0.00      1.01
05:33:41 PM    -79.29      0.00      2.53
05:33:43 PM    113.57      0.00      1.51
05:33:45 PM    181.82      0.00      1.01
05:33:47 PM   -109.60      0.00      2.02
05:33:49 PM     88.27      0.00      1.02
05:33:51 PM    -15.74      0.00      1.52
05:33:53 PM    -14.57      0.00      1.51
05:33:55 PM      1.01      0.00      1.01
05:33:57 PM  -1136.04      0.00      2.03
05:33:59 PM    933.00      0.00      1.00
05:34:01 PM    131.50      0.00      3.00
05:34:03 PM   -172.36      0.00      1.51
05:34:05 PM    -76.14      0.00      1.52
05:34:07 PM   -977.04      0.00      1.02
05:34:09 PM   1057.00      0.00      2.00
05:34:11 PM  -1120.00      0.00      3.00
05:34:13 PM   -157.36      0.00      1.02
05:34:15 PM   1167.34      0.00      1.01
05:34:17 PM   -155.78      0.00      1.51
05:34:19 PM    -67.01      0.00      0.51
05:34:21 PM   -217.59      0.00      2.01
05:34:23 PM    381.82      0.00      1.01
05:34:25 PM    -12.69      0.00      1.52
05:34:27 PM     86.00      0.00      1.00
05:34:29 PM     48.72      0.00      1.54
05:34:31 PM     -1.00      0.00      2.50
05:34:33 PM    -17.26      0.00      1.02
05:34:35 PM      4.06      0.00      1.52
05:34:37 PM    -47.21      0.00      1.02
05:34:39 PM     55.28      0.00      1.01
05:34:41 PM     48.74      0.00      2.01
05:34:43 PM    -49.49      0.00      1.02
05:34:45 PM    -76.88      0.00      1.51
05:34:47 PM    -11.56      0.00      1.01
05:34:49 PM     14.21      0.00      1.52
05:34:51 PM     29.15      0.00      3.02
05:34:53 PM    -85.43      0.00      1.01
05:34:55 PM    171.36      0.00      1.01
05:34:57 PM  -1359.50      0.00      2.00
05:34:59 PM   1277.78      0.00      1.01
05:35:01 PM    -64.00      0.00      3.50
05:35:03 PM   -106.53      0.00      1.01
05:35:05 PM    161.11      0.00      1.52
05:35:07 PM  -1183.92      0.00      1.51
05:35:09 PM   1087.37      0.00      2.02
05:35:11 PM  -1074.00      0.00      1.50
05:35:13 PM   -127.14      0.00      1.51
05:35:15 PM   1129.44      0.00      2.03
05:35:17 PM    155.78      0.00      1.01
05:35:19 PM     75.88      0.00      2.51
05:35:21 PM    -71.50      0.00      1.00
05:35:23 PM     67.68      0.00      1.52
05:35:25 PM    -57.87      0.00      1.02
05:35:27 PM    -15.66      0.00      1.52
05:35:29 PM     16.24      0.00      1.52
05:35:31 PM    -44.16      0.00      2.03
05:35:33 PM     75.63      0.00      1.52
05:35:35 PM   -103.02      0.00      1.01
05:35:37 PM     63.59      0.00      0.51
05:35:39 PM   -246.77      0.00      1.99
05:35:41 PM    290.00      0.00      0.50
05:35:43 PM   -206.63      0.00      1.53
05:35:45 PM    134.18      0.00      1.02
05:35:47 PM    -31.66      0.00      2.51
05:35:49 PM     65.99      0.00      1.52
05:35:51 PM    -63.00      0.00      1.50
05:35:53 PM     46.50      0.00      1.50
05:35:55 PM     75.25      0.00      1.01
05:35:57 PM  -1250.00      0.00      2.02
05:35:59 PM   1150.25      1.01      1.51
05:36:01 PM    -90.86      0.00      2.03
05:36:03 PM    -61.54      0.00      2.05
05:36:05 PM    136.55      0.00      1.52
05:36:07 PM  -1060.89      0.00      1.49
05:36:09 PM   1069.70      0.00      2.02
05:36:11 PM  -1240.40      0.00      3.03
05:36:13 PM    217.59      0.00      1.51
05:36:15 PM   1203.52      0.00      1.51
05:36:17 PM   -237.56      0.00      0.00
05:36:19 PM    153.77      0.00      2.01
05:36:21 PM   -238.89      0.00      1.52
05:36:23 PM    282.83      0.00      1.52
05:36:25 PM     47.24      0.00      1.01
