Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
23:01:14  1855221015 107155231 107155231    41252           1854992813 107383433 
23:01:16  1855227339 107155231 107155231    41252           1854999137 107383433 
23:01:18  1855233812 107155231 107155231    41252           1855005610 107383433 
23:01:20  1855243329 107155231 107155231    41252           1855015127 107383433 
23:01:22  1855251929 107155231 107155231    41252           1855023727 107383433 
23:01:25  1855258842 107155231 107155231    41252           1855030640 107383433 
Time      numa_hit numa_miss numa_foreign numa_interleave numa_local numa_other
23:01:27  1855265674 107155231 107155231    41252           1855037472 107383433 
23:01:29  1855272616 107155231 107155231    41252           1855044414 107383433 
23:01:31  1855279140 107155231 107155231    41252           1855050938 107383433 
23:01:33  1855286007 107155231 107155231    41252           1855057805 107383433 
23:01:35  1855292961 107155231 107155231    41252           1855064759 107383433 
23:01:37  1855299169 107155231 107155231    41252           1855070967 107383433 
23:01:39  1855305894 107155231 107155231    41252           1855077692 107383433 
23:01:41  1855312841 107155231 107155231    41252           1855084639 107383433 
23:01:43  1855319220 107155231 107155231    41252           1855091018 107383433 
23:01:45  1855325495 107155231 107155231    41252           1855097293 107383433 
23:01:47  1855332075 107155231 107155231    41252           1855103873 107383433 
23:01:49  1855339032 107155231 107155231    41252           1855110830 107383433 
23:01:51  1855346140 107155231 107155231    41252           1855117938 107383433 
23:01:53  1855352597 107155231 107155231    41252           1855124395 107383433 
23:01:55  1855361551 107155231 107155231    41252           1855133349 107383433 
23:01:57  1855373182 107155231 107155231    41252           1855144980 107383433 
23:01:59  1855381382 107155231 107155231    41252           1855153180 107383433 
23:02:01  1855390249 107155231 107155231    41252           1855162047 107383433 
23:02:03  1855396414 107155231 107155231    41252           1855168212 107383433 
23:02:05  1855406277 107155231 107155231    41252           1855178075 107383433 
23:02:07  1855417444 107155231 107155231    41252           1855189242 107383433 
23:02:09  1855428736 107155231 107155231    41252           1855200534 107383433 
23:02:11  1855437101 107155231 107155231    41252           1855208899 107383433 
23:02:13  1855452077 107155231 107155231    41252           1855223875 107383433 
23:02:15  1855461985 107155231 107155231    41252           1855233783 107383433 
23:02:17  1855470919 107155231 107155231    41252           1855242717 107383433 
