Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM  active/s passive/s    iseg/s    oseg/s
05:27:41 PM      0.51      0.51   8651.27  10138.07
05:27:43 PM      0.00      0.00   8790.50  11142.00
05:27:45 PM      0.50      0.00   8746.73  10158.79
05:27:47 PM      0.51      0.51   9683.25   9060.91
05:27:49 PM      0.00      0.00   9236.55   9958.38
05:27:51 PM      0.51      0.00   8767.68  10542.42
05:27:53 PM      0.50      0.50   7862.50   8801.50
05:27:55 PM      0.00      0.00   7675.00   8684.50
05:27:57 PM      0.51      0.00   9321.32   9920.81
05:27:59 PM      0.50      0.50   8745.00   9664.50
05:28:01 PM      0.00      0.00   8802.01  10230.15
05:28:03 PM      0.51      0.00   7566.33   9214.80
05:28:05 PM      0.50      0.50   8125.13   9296.48
05:28:07 PM      0.00      0.00   6160.00   7742.50
05:28:09 PM      0.51      0.00   8424.75   9318.69
05:28:11 PM      0.50      0.00   7596.48   8926.63
05:28:13 PM      0.00      0.00   9554.31   9174.11
05:28:15 PM      0.50      0.00   8602.51  10649.75
05:28:17 PM      0.50      0.00   8963.50  10852.50
05:28:19 PM      0.00      0.00   8916.34   9642.57
05:28:21 PM      0.51      0.00   9066.84  10642.35
05:28:23 PM      0.51      0.00   9109.69  10897.45
05:28:25 PM      0.00      0.00   8821.61  11088.94
05:28:27 PM      1.01      0.00   7664.14   9069.70
05:28:29 PM      1.01      0.00   7151.52   9137.88
05:28:31 PM      0.00      0.00   8440.70   9334.67
05:28:33 PM      0.51      0.00   9024.75   9967.68
05:28:35 PM      0.50      0.00   9010.55   9859.30
05:28:37 PM      0.00      0.00   9137.88  10934.34
05:28:39 PM      0.51      0.00   9355.56  10192.93
05:28:41 PM      0.51      0.00   9748.48  10786.36
05:28:43 PM      0.00      0.00   8052.79   9674.62
05:28:45 PM      0.51      0.00   9080.20   9892.89
05:28:47 PM      0.51      0.00   9126.26   9971.72
05:28:49 PM      0.00      0.00  10600.00  10621.32
05:28:51 PM      0.50      0.00   8571.36  10486.93
05:28:53 PM      0.51      0.00   8996.46   9787.88
05:28:55 PM      0.00      0.00   7858.79   9109.05
05:28:57 PM      0.50      0.00   8534.00  10500.50
05:28:59 PM      0.51      0.00   8647.98  10090.91
05:29:01 PM      0.00      0.00   9195.96  10757.07
05:29:03 PM      0.51      0.00   8563.13  10094.95
05:29:05 PM      1.55      0.00   9610.31  10481.96
05:29:07 PM      0.00      0.00   7485.43   8624.62
05:29:09 PM      0.50      0.00   9188.94  10100.00
05:29:11 PM      0.51      0.00   8884.85  10073.23
05:29:13 PM      0.00      0.00   8908.54   9711.06
05:29:15 PM      0.51      0.00   8702.54   9620.81
05:29:17 PM      0.51      0.00   7539.59   9029.95
05:29:19 PM      0.00      0.00  12604.59   9392.86
05:29:21 PM      0.50      0.00   8703.52   9564.82
05:29:23 PM      1.00      0.00   7439.00   9007.00
05:29:25 PM      0.00      0.00   8959.80  10079.90
05:29:27 PM      0.50      0.00   7712.50   8843.50
05:29:29 PM      0.51      0.00  11089.39   9822.73
05:29:31 PM      0.00      0.00   7800.50  10199.50
05:29:33 PM      0.51      0.00   7212.76   9757.65
05:29:35 PM      0.51      0.00   7946.19   9024.37
05:29:37 PM      0.00      0.00   9304.55   9330.81
05:29:39 PM      0.51      0.00   7610.66   9094.42
05:29:41 PM      0.51      0.00   9163.96  10174.62
05:29:43 PM      0.00      0.00  10839.59   8968.02
05:29:45 PM      0.51      0.00   8057.58  10276.77
05:29:47 PM      0.50      0.00  10135.00  10734.00
05:29:49 PM      0.00      0.00   8779.70   9902.54
05:29:51 PM      0.50      0.00   8890.95  10459.80
05:29:53 PM      0.51      0.00   8751.52  11003.03
05:29:55 PM      0.00      0.00   9590.40  11556.06
05:29:57 PM      0.51      0.00   8717.35   9579.59
05:29:59 PM      0.50      0.00   7708.04   8881.41
05:30:01 PM      0.00      0.00   8959.80  10076.38
05:30:03 PM      0.51      0.00   9319.70  10784.85
05:30:05 PM      0.50      0.00   6510.50   7877.00
05:30:07 PM      0.00      0.00   8902.50  10340.50
05:30:09 PM      0.51      0.00   8073.74   9309.09
05:30:11 PM      0.50      0.00   7645.23   9185.43
05:30:13 PM      0.00      0.00   8800.50   9822.11
05:30:15 PM      0.51      0.00   9141.62  10389.34
05:30:17 PM      1.01      0.00   9077.39   9788.94
05:30:19 PM      0.00      0.00   9901.02   8587.82
05:30:21 PM      0.51      0.00   6955.56   9290.91
05:30:23 PM      0.51      0.00   8567.01  10255.84
05:30:25 PM      0.00      0.00   8736.87  10490.40
