Linux 2.6.32-431.3.1.el6.x86_64 (mule-perflab06.managed.contegix.com) 	06/18/2014 	_x86_64_	(24 CPU)

05:18:49 PM    proc/s   cswch/s
05:32:31 PM      6.03  35832.66
05:32:33 PM      6.03  37729.65
05:32:35 PM      6.57  38191.92
05:32:37 PM      6.63  38515.31
05:32:39 PM      6.06  26013.13
05:32:41 PM      6.03  25061.81
05:32:43 PM      6.06  37923.74
05:32:45 PM      6.09  33262.94
05:32:47 PM      6.53  33186.43
05:32:49 PM      6.50  33196.00
05:32:51 PM      8.08  27951.01
05:32:53 PM      6.03  36903.02
05:32:55 PM      7.54  38014.07
05:32:57 PM     18.27  33704.06
05:32:59 PM      7.58  31959.60
05:33:01 PM      7.58  37579.29
05:33:03 PM      7.58  35641.41
05:33:05 PM     11.79  24011.28
05:33:07 PM     10.15  35685.79
05:33:09 PM      6.12  37014.29
05:33:11 PM     11.68  38247.72
05:33:13 PM     13.13  38401.01
05:33:15 PM     14.80  33313.27
05:33:17 PM      8.59  31689.90
05:33:19 PM      8.54  32611.06
05:33:21 PM      7.54  27342.71
05:33:23 PM      6.60  37246.70
05:33:25 PM      5.97  30667.16
05:33:27 PM      6.22  34382.38
05:33:29 PM      6.03  33410.55
05:33:31 PM      7.65  33383.67
05:33:33 PM      6.00  32371.00
05:33:35 PM      6.50  32417.00
05:33:37 PM      6.09  33245.18
05:33:39 PM      6.00  32948.00
05:33:41 PM      6.06  42028.28
05:33:43 PM      4.52  35443.22
05:33:45 PM      4.57  34695.94
05:33:47 PM      6.03  33161.81
05:33:49 PM      6.67  28371.79
05:33:51 PM      8.08  38469.19
05:33:53 PM      6.03  37672.36
05:33:55 PM      8.08  38941.41
05:33:57 PM     18.18  39058.08
05:33:59 PM      7.50  38011.00
05:34:01 PM      7.58  32536.87
05:34:03 PM      7.50  36473.00
05:34:05 PM     15.23  33831.98
05:34:07 PM     12.24  27885.20
05:34:09 PM      7.50  34143.50
05:34:11 PM     13.07  36738.19
05:34:13 PM     11.68  33949.75
05:34:15 PM     14.57  33238.69
